time,lat,lng,height
2015-08-20T03:55:30.791Z,32.512774,35.010765,87.4000015258789
2015-08-20T03:55:31.786Z,32.512762,35.010739,87.5999984741211
2015-08-20T03:55:34.837Z,32.512726,35.010661,86.80000305175781
2015-08-20T03:55:35.724Z,32.512714,35.010636,86.69999694824219
2015-08-20T03:55:38.786Z,32.512676,35.010562,87.19999694824219
2015-08-20T03:55:39.770Z,32.512664,35.010537,87.30000305175781
2015-08-20T03:55:42.826Z,32.512645,35.010455,87.0999984741211
2015-08-20T03:55:43.699Z,32.512642,35.010426,86.5999984741211
2015-08-20T03:55:46.771Z,32.512637,35.01034,85.0
2015-08-20T03:55:47.692Z,32.512636,35.010313,84.9000015258789
2015-08-20T03:55:51.779Z,32.512629,35.010212,84.9000015258789
2015-08-20T03:55:52.694Z,32.512625,35.010189,84.4000015258789
2015-08-20T03:55:56.849Z,32.512594,35.010093,82.9000015258789
2015-08-20T03:55:57.697Z,32.512584,35.010068,83.69999694824219
2015-08-20T03:56:00.786Z,32.512551,35.009988,84.0999984741211
2015-08-20T03:56:01.697Z,32.512539,35.009961,84.5
2015-08-20T03:56:04.757Z,32.512505,35.009883,84.0
2015-08-20T03:56:05.839Z,32.512493,35.009857,84.0
2015-08-20T03:56:08.782Z,32.512456,35.009785,83.0
2015-08-20T03:56:09.705Z,32.512445,35.009762,82.9000015258789
2015-08-20T03:56:12.777Z,32.512408,35.009692,82.4000015258789
2015-08-20T03:56:13.701Z,32.512395,35.009668,82.80000305175781
2015-08-20T03:56:16.840Z,32.512362,35.009595,81.5999984741211
2015-08-20T03:56:17.698Z,32.512347,35.009574,81.30000305175781
2015-08-20T03:56:20.757Z,32.512291,35.009517,81.80000305175781
2015-08-20T03:56:21.708Z,32.512267,35.009495,81.69999694824219
2015-08-20T03:56:24.832Z,32.512213,35.00943,82.30000305175781
2015-08-20T03:56:25.698Z,32.512199,35.00941,82.0
2015-08-20T03:56:28.974Z,32.512144,35.009361,80.69999694824219
2015-08-20T03:57:10.713Z,32.511551,35.009294,84.0
2015-08-20T03:57:14.785Z,32.511533,35.009386,86.9000015258789
2015-08-20T03:57:15.920Z,32.511524,35.009408,87.5
2015-08-20T03:57:19.818Z,32.511467,35.009485,87.30000305175781
2015-08-20T03:57:20.757Z,32.51145,35.0095,86.80000305175781
2015-08-20T03:57:24.836Z,32.511379,35.009559,89.5999984741211
2015-08-20T03:57:25.763Z,32.511362,35.009573,89.5
2015-08-20T03:57:29.824Z,32.511303,35.009636,89.0
2015-08-20T03:57:30.702Z,32.511293,35.009653,88.80000305175781
2015-08-20T03:57:35.785Z,32.511252,35.009745,91.19999694824219
2015-08-20T03:57:36.709Z,32.511245,35.009764,91.69999694824219
2015-08-20T03:57:41.812Z,32.511216,35.009855,91.30000305175781
2015-08-20T03:57:42.760Z,32.511212,35.009875,91.80000305175781
2015-08-20T03:57:47.810Z,32.511215,35.009977,87.69999694824219
2015-08-20T03:57:48.711Z,32.511218,35.009998,88.5999984741211
2015-08-20T03:57:53.815Z,32.511226,35.010102,86.19999694824219
2015-08-20T03:57:54.704Z,32.511225,35.010123,86.5999984741211
2015-08-20T03:57:59.780Z,32.511209,35.010227,86.9000015258789
2015-08-20T03:58:00.710Z,32.511202,35.010248,87.9000015258789
2015-08-20T03:58:04.797Z,32.511172,35.010329,88.80000305175781
2015-08-20T03:58:05.710Z,32.511162,35.010348,88.5
2015-08-20T03:58:09.754Z,32.511117,35.010419,90.30000305175781
2015-08-20T03:58:23.793Z,32.510997,35.010643,93.5
2015-08-20T03:58:28.757Z,32.510988,35.010748,93.19999694824219
2015-08-20T03:58:29.705Z,32.510981,35.010764,93.5999984741211
2015-08-20T03:58:34.772Z,32.510925,35.010825,93.30000305175781
2015-08-20T03:58:35.709Z,32.510912,35.010837,93.80000305175781
2015-08-20T03:58:40.773Z,32.510838,35.010887,95.4000015258789
2015-08-20T03:58:41.710Z,32.510821,35.010891,94.69999694824219
2015-08-20T03:58:46.790Z,32.510745,35.010903,97.69999694824219
2015-08-20T03:58:47.755Z,32.510729,35.01091,98.4000015258789
2015-08-20T03:58:52.795Z,32.510651,35.010939,100.5
2015-08-20T03:58:53.723Z,32.510637,35.010948,99.69999694824219
2015-08-20T03:58:58.841Z,32.510557,35.010988,98.80000305175781
2015-08-20T03:58:59.753Z,32.510539,35.010993,97.80000305175781
2015-08-20T03:59:04.834Z,32.510462,35.011028,98.19999694824219
2015-08-20T03:59:05.760Z,32.510448,35.011037,98.0999984741211
2015-08-20T03:59:10.877Z,32.510369,35.011071,98.0
2015-08-20T03:59:11.758Z,32.510353,35.011076,99.30000305175781
2015-08-20T03:59:16.821Z,32.510278,35.011083,100.19999694824219
2015-08-20T03:59:17.799Z,32.510262,35.011083,100.0
2015-08-20T03:59:22.869Z,32.510184,35.011083,100.5999984741211
2015-08-20T03:59:23.773Z,32.510168,35.011081,101.0
2015-08-20T03:59:29.840Z,32.510085,35.011108,103.69999694824219
2015-08-20T03:59:30.719Z,32.510071,35.011108,103.19999694824219
2015-08-20T03:59:35.811Z,32.509998,35.011101,104.0
2015-08-20T03:59:36.722Z,32.50998,35.011102,105.30000305175781
2015-08-20T03:59:41.823Z,32.509892,35.011123,109.5999984741211
2015-08-20T03:59:42.900Z,32.509875,35.011126,109.80000305175781
2015-08-20T03:59:47.759Z,32.509797,35.011142,112.30000305175781
2015-08-20T03:59:48.718Z,32.509782,35.011142,112.80000305175781
2015-08-20T03:59:54.855Z,32.509693,35.011128,110.80000305175781
2015-08-20T03:59:55.709Z,32.509679,35.01113,110.4000015258789
2015-08-20T04:00:02.764Z,32.509592,35.011152,109.19999694824219
2015-08-20T04:00:03.761Z,32.509576,35.011153,108.4000015258789
2015-08-20T04:00:08.786Z,32.509491,35.011162,109.80000305175781
2015-08-20T04:00:09.727Z,32.509474,35.011171,110.0999984741211
2015-08-20T04:00:13.815Z,32.50941,35.011228,111.5999984741211
2015-08-20T04:00:14.721Z,32.509395,35.011246,111.80000305175781
2015-08-20T04:00:18.879Z,32.509335,35.011324,111.0999984741211
2015-08-20T04:00:19.739Z,32.509325,35.011348,111.0
2015-08-20T04:00:22.758Z,32.50931,35.011425,110.30000305175781
2015-08-20T04:00:26.765Z,32.509363,35.011497,109.4000015258789
2015-08-20T04:00:31.754Z,32.509427,35.011568,109.5
2015-08-20T04:00:32.724Z,32.509434,35.01158,109.4000015258789
2015-08-20T04:00:38.798Z,32.509408,35.01168,108.30000305175781
2015-08-20T04:00:39.732Z,32.509398,35.011698,108.30000305175781
2015-08-20T04:00:44.912Z,32.509339,35.011764,106.5999984741211
2015-08-20T04:00:45.722Z,32.509328,35.011776,106.69999694824219
2015-08-20T04:00:50.955Z,32.509276,35.011845,103.0
2015-08-20T04:00:51.724Z,32.509261,35.011857,102.19999694824219
2015-08-20T04:00:56.837Z,32.509182,35.011906,100.9000015258789
2015-08-20T04:00:57.790Z,32.509167,35.011919,100.69999694824219
2015-08-20T04:01:02.893Z,32.509097,35.011982,100.5
2015-08-20T04:01:03.767Z,32.509082,35.011995,100.0999984741211
2015-08-20T04:01:07.773Z,32.509023,35.012046,98.69999694824219
2015-08-20T04:01:08.723Z,32.509008,35.01206,98.4000015258789
2015-08-20T04:01:12.892Z,32.508949,35.012118,98.19999694824219
2015-08-20T04:01:13.730Z,32.508936,35.012133,97.80000305175781
2015-08-20T04:01:17.889Z,32.508888,35.012198,96.9000015258789
2015-08-20T04:01:18.737Z,32.508875,35.012215,96.9000015258789
2015-08-20T04:01:22.773Z,32.508815,35.012275,96.0
2015-08-20T04:01:23.738Z,32.508801,35.012291,95.69999694824219
2015-08-20T04:01:27.842Z,32.508754,35.012367,95.5
2015-08-20T04:01:28.724Z,32.508745,35.01239,95.30000305175781
2015-08-20T04:01:32.771Z,32.508719,35.012489,94.9000015258789
2015-08-20T04:01:33.737Z,32.508714,35.012511,94.19999694824219
2015-08-20T04:01:37.826Z,32.508683,35.012593,93.30000305175781
2015-08-20T04:01:38.805Z,32.50867,35.012613,93.69999694824219
2015-08-20T04:01:42.885Z,32.508632,35.012693,92.0999984741211
2015-08-20T04:01:43.769Z,32.508626,35.012715,91.30000305175781
2015-08-20T04:01:47.862Z,32.508605,35.012807,90.5999984741211
2015-08-20T04:01:48.809Z,32.508601,35.012831,90.19999694824219
2015-08-20T04:01:52.842Z,32.508585,35.012924,89.5999984741211
2015-08-20T04:01:53.730Z,32.508577,35.012946,88.4000015258789
2015-08-20T04:01:56.975Z,32.508545,35.013015,88.0999984741211
2015-08-20T04:01:57.734Z,32.508537,35.013042,88.4000015258789
2015-08-20T04:02:01.816Z,32.508514,35.013143,87.30000305175781
2015-08-20T04:02:02.766Z,32.508506,35.013164,87.19999694824219
2015-08-20T04:02:06.811Z,32.508474,35.01325,87.0999984741211
2015-08-20T04:02:07.740Z,32.508467,35.013272,87.19999694824219
2015-08-20T04:02:11.804Z,32.508432,35.013361,87.4000015258789
2015-08-20T04:02:12.733Z,32.508421,35.013383,88.0
2015-08-20T04:02:16.800Z,32.508376,35.013474,88.0999984741211
2015-08-20T04:02:17.734Z,32.508364,35.013495,87.30000305175781
2015-08-20T04:02:22.799Z,32.508313,35.013573,85.19999694824219
2015-08-20T04:02:23.743Z,32.5083,35.013586,85.0
2015-08-20T04:02:28.794Z,32.508228,35.013635,80.80000305175781
